id,storage_capacity,cpu_cores,cpu_clock,ram_capacity,touch_screen,screen_size,screen_refresh,battery_capacity,year,dedicated_gpu,rating,price,used,ram_type_DDR3,ram_type_DDR4,ram_type_DDR5,ram_type_LPDDR4,ram_type_LPDDR5,fair_price
46,512,10,4.4,16,False,15.3,60,54,2025.0,False,4.8,1199.0,False,False,False,False,False,True,1109.58
45,256,10,4.4,16,False,15.3,60,54,2025.0,False,4.8,999.0,False,False,False,False,False,True,990.31
44,512,10,4.4,24,False,13.6,60,54,2025.0,False,4.8,1199.0,False,False,False,False,False,True,1312.05
43,512,10,4.4,16,False,13.6,60,54,2025.0,False,4.8,999.0,False,False,False,False,False,True,987.85
42,256,10,4.4,16,False,13.6,60,54,2025.0,False,4.8,799.0,False,False,False,False,False,True,855.36
41,2000,12,1.3,64,True,17.3,60,41,2025.0,False,5.0,1399.0,False,False,False,True,False,False,1380.23
40,2000,12,1.3,32,True,17.3,60,41,2025.0,False,5.0,1059.0,False,False,False,True,False,False,1077.09
39,1000,12,1.3,32,True,17.3,60,41,2025.0,False,5.0,949.0,False,False,False,True,False,False,1003.47
38,1000,12,1.3,16,True,17.3,60,41,2025.0,False,5.0,799.0,False,False,False,True,False,False,819.13
37,4000,10,5.4,64,False,17.3,60,41,2025.0,False,5.0,1499.99,False,False,True,False,False,False,1359.21
36,2000,10,5.4,64,False,17.3,60,41,2025.0,False,5.0,1159.0,False,False,True,False,False,False,1191.68
35,1000,10,5.4,64,False,17.3,60,41,2025.0,False,5.0,1049.99,False,False,True,False,False,False,1133.56
34,2000,10,5.4,32,False,17.3,60,41,2025.0,False,5.0,999.0,False,False,True,False,False,False,998.32
33,1000,10,5.4,32,False,17.3,60,41,2025.0,False,5.0,899.0,False,False,True,False,False,False,925.35
32,2000,10,5.4,16,False,17.3,60,41,2025.0,False,5.0,979.99,False,False,True,False,False,False,923.76
31,1000,10,5.4,16,False,17.3,60,41,2025.0,False,5.0,861.51,False,False,True,False,False,False,858.32
30,2000,10,5.0,40,True,15.6,60,42,2025.0,False,5.0,953.99,False,False,True,False,False,False,963.28
29,1000,10,5.0,24,True,15.6,60,42,2025.0,False,5.0,779.99,False,False,True,False,False,False,834.74
28,512,10,5.0,16,True,15.6,60,42,2025.0,False,5.0,745.99,False,False,True,False,False,False,726.51
27,1000,4,4.6,32,True,15.6,60,41,2025.0,False,4.8,789.0,False,False,True,False,False,False,754.92
26,512,4,4.6,16,True,15.6,60,41,2025.0,False,4.8,579.0,False,False,True,False,False,False,560.38
25,256,4,4.6,16,True,15.6,60,41,2025.0,False,4.8,529.0,False,False,True,False,False,False,518.7
24,1000,4,4.6,16,True,15.6,60,41,2025.0,False,4.8,689.0,False,False,True,False,False,False,670.93
23,256,4,4.6,8,True,15.6,60,41,2025.0,False,4.8,460.0,False,False,True,False,False,False,467.96
22,512,8,4.5,16,False,15.6,60,41,2026.0,False,5.0,979.99,False,False,True,False,False,False,847.09
21,4000,14,2.5,64,False,17.3,480,87,2024.0,True,4.2,2599.99,False,False,False,True,False,False,2608.95
20,4000,10,2.5,64,False,16.0,120,96,2025.0,True,4.2,2199.99,False,False,False,True,False,False,2025.57
19,2000,14,2.5,64,False,17.3,480,87,2023.0,True,4.2,2499.99,False,False,False,True,False,False,2572.02
18,1000,10,2.5,32,False,16.0,120,96,2025.0,True,4.2,1399.99,False,False,False,True,False,False,1510.62
17,1000,10,2.5,16,False,16.0,120,96,2025.0,True,4.2,1149.99,False,False,False,True,False,False,1086.02
16,2000,10,2.5,64,False,16.0,120,96,2025.0,True,4.2,1899.99,False,False,False,True,False,False,1887.46
15,1000,10,2.5,32,False,16.0,120,80,2024.0,True,5.0,1269.0,False,False,False,True,False,False,1339.93
14,1000,10,2.5,16,False,16.0,120,96,2025.0,True,4.5,899.0,False,False,False,True,False,False,983.61
13,512,10,1.4,16,False,16.0,60,41,2025.0,False,4.6,549.99,False,False,False,True,False,False,585.42
12,1000,10,1.8,16,False,16.0,60,54,2025.0,False,4.6,629.99,False,False,False,True,False,False,677.08
11,1,10,4.6,16,True,15.6,60,42,2025.0,False,0.0,669.99,False,False,True,False,False,False,627.51
10,1000,10,4.6,16,True,15.6,60,42,2025.0,False,0.0,549.99,False,False,True,False,False,False,638.39
9,512,10,4.6,12,True,15.6,60,42,2025.0,False,0.0,519.99,False,False,True,False,False,False,560.59
8,512,10,3.7,16,False,15.6,120,54,2025.0,False,4.4,589.98,False,False,False,True,False,False,603.38
7,512,4,2.8,8,False,15.6,120,41,2025.0,True,4.4,369.99,False,False,False,False,False,True,385.82
6,512,5,4.5,8,False,15.6,120,41,2025.0,False,4.4,345.0,False,False,True,False,False,False,379.37
5,512,6,4.7,8,False,15.6,120,41,2025.0,False,4.4,299.99,False,False,True,False,False,False,352.94
4,512,10,4.6,16,False,15.6,120,41,2025.0,False,4.4,529.99,False,False,True,False,False,False,561.69
3,640,4,3.7,32,False,15.6,60,42,2025.0,False,4.0,499.98,False,False,True,False,False,False,524.03
2,384,4,3.7,8,False,15.6,60,42,2025.0,False,4.0,419.98,False,False,True,False,False,False,411.68
1,640,4,3.7,16,False,15.6,60,42,2025.0,False,4.0,449.98,False,False,True,False,False,False,449.63
